"group_id","user_id","customer_name"
"6","15912","c2"
"6","16482","c2"
"1","14466","c2"
"6","17012","c2"
"1","15964","c2"
"6","15258","c2"
"16005","16079","c2"
"1","16081","c2"
"18118","18129","c2"
"15983","15982","c2"
"2","14617","c2"
"13764","15744","c2"
"6","17695","c2"
"1","16603","c2"
"2","15252","c2"
"6","13463","c2"
"2","14996","c2"
"6","16103","c2"
"6","13571","c2"
"17573","15880","c2"
"17436","17445","c2"
"16206","16221","c2"
"1","15807","c2"
"2","16934","c2"
"2","13498","c2"
"2","15541","c2"
"16400","16112","c2"
"6","17932","c2"
"2","17370","c2"
"14420","17546","c2"
"1","17835","c2"
"1","14740","c2"
"1","13414","c2"
"13332","15771","c2"
"17716","17856","c2"
"2","18005","c2"
"2","16465","c2"
"2","16536","c2"
"6","18007","c2"
"17608","17972","c2"
"1","14567","c2"
"2","17276","c2"
"16005","16913","c2"
"13030","13775","c2"
"17986","18000","c2"
"2","16833","c2"
"6","15164","c2"
"13358","13377","c2"
"2","14441","c2"
"13540","16977","c2"
"14958","14963","c2"
"17986","17478","c2"
"13765","15761","c2"
"16137","16156","c2"
"6","17188","c2"
"6","16174","c2"
"17991","17355","c2"
